,index,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,vilemawKills,riftHeraldKills,dominionVictoryScore,gameId,ban1,ban2,ban3,ban4,ban5,lane1,lane2,lane3,lane4,lane5,lane6,lane7,lane8,lane9,lane10,kills1,kills2,kills3,kills4,kills5,deaths1,deaths2,deaths3,deaths4,deaths5,assists1,assists2,assists3,assists4,assists5,largestKillingSpree1,largestKillingSpree2,largestKillingSpree3,largestKillingSpree4,largestKillingSpree5,largestMultiKill1,largestMultiKill2,largestMultiKill3,largestMultiKill4,largestMultiKill5,longestTimeSpentLiving1,longestTimeSpentLiving2,longestTimeSpentLiving3,longestTimeSpentLiving4,longestTimeSpentLiving5,totalDamageDealtToChampions1,totalDamageDealtToChampions2,totalDamageDealtToChampions3,totalDamageDealtToChampions4,totalDamageDealtToChampions5,totalHeal1,totalHeal2,totalHeal3,totalHeal4,totalHeal5,totalDamageTaken1,totalDamageTaken2,totalDamageTaken3,totalDamageTaken4,totalDamageTaken5,goldEarned1,goldEarned2,goldEarned3,goldEarned4,goldEarned5,turretKills1,turretKills2,turretKills3,turretKills4,turretKills5,totalMinionsKilled1,totalMinionsKilled2,totalMinionsKilled3,totalMinionsKilled4,totalMinionsKilled5,visionScore1,visionScore2,visionScore3,visionScore4,visionScore5,timeCCingOthers1,timeCCingOthers2,timeCCingOthers3,timeCCingOthers4,timeCCingOthers5,champ1,champ2,champ3,champ4,champ5,champ6,champ7,champ8,champ9,champ10,CARRY_kills,SUPPORT_kills,CARRY_deaths,SUPPORT_deaths,CARRY_assists,SUPPORT_assists,CARRY_largestKillingSpree,SUPPORT_largestKillingSpree,CARRY_largestMultiKill,SUPPORT_largestMultiKill,CARRY_longestTimeSpentLiving,SUPPORT_longestTimeSpentLiving,CARRY_totalDamageDealtToChampions,SUPPORT_totalDamageDealtToChampions,CARRY_totalHeal,SUPPORT_totalHeal,CARRY_totalDamageTaken,SUPPORT_totalDamageTaken,CARRY_goldEarned,SUPPORT_goldEarned,CARRY_turretKills,SUPPORT_turretKills,CARRY_totalMinionsKilled,SUPPORT_totalMinionsKilled,CARRY_visionScore,SUPPORT_visionScore,CARRY_timeCCingOthers,SUPPORT_timeCCingOthers
0,0,100,Win,False,True,True,False,True,True,6,1,0,1,0,1,0,4460686198,신드라,갱플랭크,이즈리얼,NONE,바루스,TOP,JUNGLE,MID,BOT_CARRY,BOT_SUPPORT,TOP,JUNGLE,MID,BOT_SUPPORT,BOT_CARRY,1.0,8.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0,0.0,10.0,1.0,6.0,4.0,3.0,0.0,8.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,330.0,768.0,600.0,777.0,0.0,4439.0,6236.0,7480.0,7635.0,8617.0,359.0,9009.0,0.0,1517.0,490.0,6581.0,15721.0,7860.0,7946.0,6853.0,5083.0,6811.0,5963.0,5200.0,7650.0,0.0,1.0,0.0,0.0,5.0,18.0,19.0,88.0,68.0,108.0,20.0,9.0,11.0,9.0,12.0,20.0,13.0,20.0,19.0,15.0,쓰레쉬,사일러스,갈리오,뽀삐,아펠리오스,62,22,245,80,67,3.0,4.0,1.0,0.0,4.0,3.0,3.0,4.0,1.0,2.0,777.0,0.0,7635.0,8617.0,1517.0,490.0,7946.0,6853.0,5200.0,7650.0,0.0,5.0,68.0,108.0,9.0,12.0,19.0,15.0
1,0,100,Win,False,True,False,True,False,True,4,0,1,1,0,1,0,4459894479,바드,바루스,오공,그레이브즈,유미,TOP,JUNGLE,MID,BOT_CARRY,BOT_SUPPORT,TOP,JUNGLE,MID,BOT_CARRY,BOT_SUPPORT,3.0,4.0,10.0,3.0,1.0,5.0,3.0,6.0,3.0,5.0,8.0,10.0,7.0,7.0,9.0,2.0,2.0,6.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,251.0,724.0,253.0,631.0,424.0,11277.0,13494.0,22989.0,14962.0,6347.0,3502.0,11326.0,4002.0,1191.0,1418.0,18067.0,20145.0,15172.0,9401.0,12239.0,9264.0,10836.0,12884.0,9174.0,5903.0,2.0,0.0,2.0,0.0,0.0,155.0,20.0,196.0,178.0,29.0,13.0,22.0,29.0,25.0,46.0,21.0,5.0,8.0,5.0,37.0,오른,니달리,제이스,이즈리얼,브라움,79,120,157,48,7,3.0,1.0,3.0,5.0,7.0,9.0,0.0,0.0,1.0,1.0,631.0,424.0,14962.0,6347.0,1191.0,1418.0,9401.0,12239.0,9174.0,5903.0,0.0,0.0,178.0,29.0,25.0,46.0,5.0,37.0
2,0,100,Fail,False,False,False,False,True,False,1,0,0,2,0,1,0,4459598279,세트,피오라,레넥톤,엘리스,이즈리얼,TOP,JUNGLE,MID,BOT_CARRY,BOT_SUPPORT,TOP,JUNGLE,MID,BOT_CARRY,BOT_SUPPORT,6.0,2.0,1.0,2.0,2.0,5.0,3.0,4.0,7.0,4.0,1.0,3.0,7.0,4.0,2.0,5.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,450.0,626.0,555.0,381.0,429.0,10871.0,8894.0,12012.0,5052.0,3440.0,4560.0,7306.0,2951.0,5392.0,1310.0,18217.0,16087.0,17557.0,21437.0,11595.0,10533.0,8520.0,8724.0,7132.0,5826.0,1.0,0.0,0.0,0.0,0.0,143.0,186.0,149.0,21.0,33.0,23.0,24.0,24.0,13.0,43.0,11.0,26.0,17.0,13.0,14.0,사일러스,카시오페아,오공,리 신,쓰레쉬,523,555,76,80,6,2.0,2.0,7.0,4.0,4.0,2.0,2.0,0.0,1.0,1.0,381.0,429.0,5052.0,3440.0,5392.0,1310.0,21437.0,11595.0,7132.0,5826.0,0.0,0.0,21.0,33.0,13.0,43.0,13.0,14.0
3,0,100,Fail,True,False,False,False,False,False,2,0,0,0,0,1,0,4459531779,아펠리오스,제이스,NONE,세트,올라프,TOP,JUNGLE,MID,BOT_CARRY,BOT_SUPPORT,TOP,JUNGLE,MID,BOT_CARRY,BOT_SUPPORT,1.0,0.0,4.0,3.0,6.0,6.0,6.0,6.0,2.0,11.0,5.0,7.0,3.0,7.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,774.0,692.0,647.0,778.0,262.0,10497.0,5277.0,20142.0,13638.0,11662.0,1587.0,1333.0,11533.0,17577.0,2670.0,17940.0,16197.0,29883.0,31213.0,28905.0,9757.0,5960.0,11446.0,9606.0,8833.0,1.0,0.0,0.0,1.0,0.0,226.0,30.0,196.0,29.0,122.0,26.0,50.0,24.0,30.0,7.0,32.0,19.0,21.0,37.0,21.0,애쉬,쓰레쉬,아트록스,누누와 윌럼프,다리우스,81,25,76,91,58,3.0,6.0,2.0,11.0,7.0,2.0,2.0,2.0,1.0,1.0,778.0,262.0,13638.0,11662.0,17577.0,2670.0,31213.0,28905.0,9606.0,8833.0,1.0,0.0,29.0,122.0,30.0,7.0,37.0,21.0
4,0,100,Fail,False,False,False,False,False,True,2,0,0,0,0,1,0,4459877692,NONE,그레이브즈,유미,바루스,조이,MID,JUNGLE,BOT_CARRY,TOP,BOT_SUPPORT,MID,JUNGLE,TOP,BOT_CARRY,BOT_SUPPORT,2.0,4.0,5.0,1.0,0.0,6.0,4.0,7.0,3.0,2.0,2.0,3.0,1.0,7.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,383.0,516.0,291.0,497.0,1104.0,8018.0,7750.0,7816.0,5737.0,8452.0,0.0,7414.0,1029.0,0.0,7947.0,12298.0,18484.0,12404.0,8428.0,20569.0,7094.0,6763.0,8120.0,5765.0,6301.0,0.0,0.0,1.0,0.0,1.0,164.0,18.0,153.0,35.0,137.0,14.0,16.0,15.0,45.0,13.0,10.0,12.0,9.0,35.0,35.0,신드라,에코,아펠리오스,노틸러스,마오카이,7,64,81,43,516,5.0,0.0,7.0,2.0,1.0,4.0,2.0,0.0,2.0,0.0,291.0,1104.0,7816.0,8452.0,1029.0,7947.0,12404.0,20569.0,8120.0,6301.0,1.0,1.0,153.0,137.0,15.0,13.0,9.0,35.0
5,1,200,Fail,True,False,False,False,False,False,0,0,0,0,0,0,0,4460686198,그레이브즈,럼블,유미,카르마,제이스,TOP,JUNGLE,MID,BOT_CARRY,BOT_SUPPORT,TOP,JUNGLE,MID,BOT_SUPPORT,BOT_CARRY,0.0,4.0,4.0,0.0,0.0,3.0,4.0,0.0,4.0,8.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,264.0,355.0,0.0,425.0,174.0,2549.0,7234.0,6692.0,3808.0,3846.0,153.0,562.0,3577.0,229.0,294.0,8091.0,7323.0,10438.0,8127.0,9158.0,3683.0,5868.0,5608.0,4134.0,3724.0,0.0,0.0,0.0,0.0,0.0,63.0,54.0,32.0,61.0,72.0,7.0,12.0,7.0,4.0,10.0,6.0,19.0,12.0,7.0,0.0,쓰레쉬,사일러스,갈리오,뽀삐,아펠리오스,62,22,245,80,67,0.0,0.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,425.0,174.0,3808.0,3846.0,229.0,294.0,8127.0,9158.0,4134.0,3724.0,0.0,0.0,61.0,72.0,4.0,10.0,7.0,0.0
6,1,200,Fail,True,False,False,False,True,False,3,0,0,2,0,1,0,4459894479,신드라,세트,렉사이,트위스티드 페이트,칼리스타,TOP,JUNGLE,MID,BOT_CARRY,BOT_SUPPORT,TOP,JUNGLE,MID,BOT_CARRY,BOT_SUPPORT,2.0,2.0,11.0,1.0,5.0,5.0,3.0,5.0,2.0,6.0,7.0,6.0,4.0,10.0,3.0,2.0,2.0,7.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,677.0,1237.0,906.0,594.0,363.0,8793.0,11411.0,17163.0,5864.0,8798.0,4850.0,6760.0,3982.0,11991.0,1800.0,19950.0,21613.0,16230.0,19988.0,13872.0,6208.0,7314.0,12802.0,7129.0,8539.0,0.0,1.0,0.0,1.0,1.0,44.0,131.0,193.0,17.0,144.0,51.0,21.0,27.0,28.0,20.0,33.0,17.0,31.0,25.0,8.0,오른,니달리,제이스,이즈리얼,브라움,79,120,157,48,7,1.0,5.0,2.0,6.0,10.0,3.0,0.0,2.0,1.0,1.0,594.0,363.0,5864.0,8798.0,11991.0,1800.0,19988.0,13872.0,7129.0,8539.0,1.0,1.0,17.0,144.0,28.0,20.0,25.0,8.0
7,1,200,Win,True,True,True,True,False,True,8,1,1,1,0,1,0,4459598279,신드라,바루스,이즈리얼,NONE,세트,TOP,JUNGLE,MID,BOT_CARRY,BOT_SUPPORT,TOP,JUNGLE,MID,BOT_CARRY,BOT_SUPPORT,2.0,2.0,12.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,12.0,9.0,10.0,11.0,5.0,0.0,0.0,5.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,538.0,534.0,458.0,600.0,465.0,15256.0,4280.0,21456.0,13087.0,9209.0,1565.0,1195.0,19180.0,3960.0,386.0,7602.0,7356.0,20266.0,17649.0,12757.0,10291.0,7578.0,14127.0,9412.0,9711.0,3.0,0.0,2.0,1.0,2.0,167.0,29.0,38.0,160.0,161.0,34.0,52.0,36.0,18.0,32.0,17.0,16.0,3.0,22.0,18.0,사일러스,카시오페아,오공,리 신,쓰레쉬,523,555,76,80,6,4.0,3.0,2.0,3.0,11.0,5.0,4.0,2.0,1.0,1.0,600.0,465.0,13087.0,9209.0,3960.0,386.0,17649.0,12757.0,9412.0,9711.0,1.0,2.0,160.0,161.0,18.0,32.0,22.0,18.0
8,1,200,Win,False,True,True,True,True,True,9,1,1,3,0,1,0,4459531779,판테온,렉사이,그레이브즈,바루스,유미,TOP,JUNGLE,MID,BOT_CARRY,BOT_SUPPORT,TOP,JUNGLE,MID,BOT_CARRY,BOT_SUPPORT,4.0,1.0,7.0,10.0,9.0,2.0,1.0,2.0,4.0,5.0,11.0,15.0,12.0,10.0,6.0,2.0,0.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,2.0,711.0,950.0,955.0,731.0,459.0,28608.0,9479.0,17841.0,20443.0,26745.0,3191.0,2101.0,19901.0,2231.0,8044.0,13873.0,10028.0,24538.0,19362.0,27942.0,12886.0,8196.0,11844.0,12019.0,14659.0,3.0,1.0,1.0,0.0,4.0,227.0,20.0,29.0,153.0,208.0,23.0,70.0,36.0,10.0,32.0,12.0,34.0,1.0,4.0,30.0,애쉬,쓰레쉬,아트록스,누누와 윌럼프,다리우스,81,25,76,91,58,10.0,9.0,4.0,5.0,10.0,6.0,5.0,5.0,2.0,2.0,731.0,459.0,20443.0,26745.0,2231.0,8044.0,19362.0,27942.0,12019.0,14659.0,0.0,4.0,153.0,208.0,10.0,32.0,4.0,30.0
9,1,200,Win,True,True,False,False,True,False,4,0,0,2,0,0,0,4459877692,바루스,세트,오공,유미,엘리스,MID,JUNGLE,BOT_CARRY,TOP,BOT_SUPPORT,MID,JUNGLE,TOP,BOT_CARRY,BOT_SUPPORT,3.0,8.0,9.0,2.0,0.0,0.0,2.0,2.0,5.0,3.0,6.0,5.0,4.0,9.0,4.0,3.0,4.0,8.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,524.0,262.0,396.0,439.0,11896.0,8490.0,15649.0,7633.0,13032.0,2843.0,4853.0,1688.0,1487.0,1569.0,9324.0,14723.0,9019.0,8583.0,12584.0,8211.0,8597.0,11161.0,5996.0,6391.0,0.0,0.0,4.0,0.0,0.0,171.0,11.0,168.0,7.0,162.0,20.0,21.0,12.0,27.0,16.0,13.0,12.0,3.0,20.0,25.0,신드라,에코,아펠리오스,노틸러스,마오카이,7,64,81,43,516,9.0,0.0,2.0,3.0,4.0,4.0,8.0,0.0,2.0,0.0,262.0,439.0,15649.0,13032.0,1688.0,1569.0,9019.0,12584.0,11161.0,6391.0,4.0,0.0,168.0,162.0,12.0,16.0,3.0,25.0
