,JUNGLE_100,TOP_100,MID_100,ADC_100,SUPPORT_100,JUNGLE_200,TOP_200,MID_200,ADC_200,SUPPORT_200,gameId
0,2.0,1.0,3.0,5.0,4.0,10.0,8.0,7.0,6.0,9.0,4531460592.0
0,1.0,4.0,3.0,,2.0,7.0,6.0,8.0,10.0,9.0,4531317430.0
0,2.0,4.0,3.0,5.0,1.0,10.0,6.0,8.0,7.0,9.0,4531273841.0
0,3.0,4.0,1.0,5.0,2.0,8.0,7.0,9.0,10.0,6.0,4531257729.0
0,3.0,4.0,1.0,5.0,2.0,9.0,6.0,8.0,7.0,10.0,4531123754.0
0,4.0,5.0,2.0,3.0,1.0,6.0,9.0,8.0,7.0,10.0,4530794835.0
0,5.0,4.0,1.0,3.0,2.0,6.0,8.0,7.0,9.0,10.0,4530648516.0
0,2.0,3.0,1.0,5.0,4.0,8.0,10.0,7.0,9.0,6.0,4530620295.0
0,2.0,5.0,1.0,3.0,4.0,9.0,7.0,8.0,6.0,10.0,4530531399.0
0,2.0,4.0,3.0,5.0,1.0,9.0,6.0,8.0,7.0,10.0,4530450059.0
0,1.0,5.0,2.0,4.0,3.0,8.0,10.0,9.0,7.0,6.0,4532264024.0
0,2.0,1.0,3.0,5.0,4.0,9.0,8.0,7.0,10.0,6.0,4532185941.0
0,3.0,5.0,4.0,1.0,2.0,10.0,6.0,9.0,7.0,8.0,4532094678.0
0,3.0,2.0,1.0,5.0,4.0,7.0,9.0,6.0,10.0,8.0,4531966054.0
0,3.0,2.0,1.0,4.0,5.0,7.0,10.0,8.0,6.0,9.0,4531218913.0
